imageX,imageY,pixel RGB,Increasing Interval M,Smallest Grade M,Closest Color,Explanation(Distance)
0,0,"(0,179,229)","Cyan (Process)(0,183,235)","Cyan (Process)(0,183,235)","Cyan (Process)(0,183,235)",7.211
0,1,"(183,84,255)","Lavender Indigo(148,87,235)","Medium Orchid(186,85,211)","Lavender Indigo(148,87,235)",40.423
0,2,"(255,12,38)","Ruddy(255,0,40)","Ruddy(255,0,40)","Ruddy(255,0,40)",12.166
0,3,"(0,127,255)","Azure(0,127,255)","Azure(0,127,255)","Azure(0,127,255)",0.000
0,4,"(0,162,232)","Cyan (Process)(0,183,235)","Cyan (Process)(0,183,235)","Cyan (Process)(0,183,235)",21.213
0,5,"(0,162,232)","Cyan (Process)(0,183,235)","Cyan (Process)(0,183,235)","Cyan (Process)(0,183,235)",21.213
0,6,"(0,162,232)","Cyan (Process)(0,183,235)","Cyan (Process)(0,183,235)","Cyan (Process)(0,183,235)",21.213
0,7,"(63,72,204)","Cerulean Blue(42,82,190)","Iris(90,79,207)","Cerulean Blue(42,82,190)",27.148
0,8,"(63,72,204)","Cerulean Blue(42,82,190)","Iris(90,79,207)","Cerulean Blue(42,82,190)",27.148
0,9,"(127,127,127)","Gray(128,128,128)","Gray(128,128,128)","Gray(128,128,128)",1.732
1,0,"(172,101,223)","Rich Lilac(182,102,210)","Rich Lilac(182,102,210)","Rich Lilac(182,102,210)",16.432
1,1,"(211,51,0)","Sinopia(203,65,11)","Mahogany(192,64,0)","Sinopia(203,65,11)",19.519
1,2,"(255,201,14)","Mikado Yellow(255,196,12)","Mikado Yellow(255,196,12)","Mikado Yellow(255,196,12)",5.385
1,3,"(153,97,255)","Lavender Indigo(148,87,235)","Lavender Indigo(148,87,235)","Lavender Indigo(148,87,235)",22.913
1,4,"(175,33,0)","Rufous(168,28,7)","Rufous(168,28,7)","Rufous(168,28,7)",11.091
1,5,"(127,127,127)","Gray(128,128,128)","Gray(128,128,128)","Gray(128,128,128)",1.732
1,6,"(127,127,127)","Gray(128,128,128)","Gray(128,128,128)","Gray(128,128,128)",1.732
1,7,"(237,28,36)","Red (Pigment)(237,28,36)","Red (Pigment)(237,28,36)","Red (Pigment)(237,28,36)",0.000
1,8,"(63,72,204)","Cerulean Blue(42,82,190)","Iris(90,79,207)","Cerulean Blue(42,82,190)",27.148
1,9,"(63,72,204)","Cerulean Blue(42,82,190)","Iris(90,79,207)","Cerulean Blue(42,82,190)",27.148
2,0,"(208,82,55)","Dark Coral(205,91,69)","Dark Coral(205,91,69)","Dark Coral(205,91,69)",16.912
2,1,"(63,72,204)","Cerulean Blue(42,82,190)","Iris(90,79,207)","Cerulean Blue(42,82,190)",27.148
2,2,"(63,72,204)","Cerulean Blue(42,82,190)","Iris(90,79,207)","Cerulean Blue(42,82,190)",27.148
2,3,"(86,128,122)","Hooker'S Green(73,121,107)","Dark Electric Blue(83,104,120)","Hooker'S Green(73,121,107)",21.048
2,4,"(0,162,232)","Cyan (Process)(0,183,235)","Cyan (Process)(0,183,235)","Cyan (Process)(0,183,235)",21.213
2,5,"(0,162,232)","Cyan (Process)(0,183,235)","Cyan (Process)(0,183,235)","Cyan (Process)(0,183,235)",21.213
2,6,"(255,201,14)","Mikado Yellow(255,196,12)","Mikado Yellow(255,196,12)","Mikado Yellow(255,196,12)",5.385
2,7,"(255,201,14)","Mikado Yellow(255,196,12)","Mikado Yellow(255,196,12)","Mikado Yellow(255,196,12)",5.385
2,8,"(34,177,76)","Lime Green(50,205,50)","Green (Pigment)(0,165,80)","Green (Pigment)(0,165,80)",36.277
